,,,,,,,,
السنة ,محفظة الأجيال ,,محفظة التنمية الوطنية ,,أصول الجهاز ,,,
,الرصيد الإفتتاحي ,الرصيد الختامي ,الرصيد الإفتتاحي ,الرصيد الختامي ,الرصيد الإفتتاحي ,الرصيد الختامي ,,
2020, -   , -   , -   , -   ," 16,034 "," 16,960 ",,
2021, -   , -   , -   , -   ," 16,960 "," 17,436 ",,
2022," 7,336 "," 7,207 "," 10,100 "," 10,690 "," 17,436 "," 17,897 ",,
2023," 7,207 "," 7,065 "," 10,690 "," 12,175 "," 17,897 "," 19,240 ",,
,,,,,,,,
